	Measured	Predicted	Measured std_dev	Predicted std_dev	Control coeff	Coverage (%)
2,3-Diphosphoglyceric acid	1.3105565990164454	1.0385274110719362	0.39274057973381155	0.012575297916887556	0.6956788717548411	40.0
6-Phosphogluconic acid	0.8259180423315898	0.9646021029013886	0.35209365799027825	0.01960204375682264	0.8717145508133991	100.0
ADP	1.083381415921828	0.9881902213225661	0.16083685119513028	0.008750184339154787	0.826181913142762	78.12765957446808
AMP	1.4077287626141282	0.9821278580108914	0.310446312450901	0.0084180311658717	0.8078961969639955	81.7351598173516
ATP	0.7003965644227447	0.9914125577251175	0.09038856614978419	0.0047779416977406656	0.7639855534362072	83.44
Citric acid	0.6439460612709509	0.8148254534874355	0.10003239747462651	0.04611865386797475	0.7452448417618647	60.526315789473685
cAMP	0.8380284631072819	1.0175713196120928	0.1403163464010534	0.030331514146080124	0.7380373470385853	65.11627906976744
D-Glucose	0.648351164307634	1.0289446445681416	0.07524708880883721	0.08376583899865472	0.7414584451908803	58.62068965517241
D-Sedoheptulose 7-phosphate	0.6656592318430502	0.9530124667500258	0.11713335489931728	0.16319499152372785	0.8252703344379014	83.33333333333333
Fructose 1,6-bisphosphate	1.0675025305189363	0.8712995439665506	0.22293617354257173	0.03624666762004735	0.7008160814752604	54.54545454545455
Fructose 6-phosphate	1.4883268022935179	1.0294392544211053	0.38862907628193577	0.0800800907016241	0.7736927723074299	61.29032258064516
Fumaric acid	4.963678358840067	0.7562803705534669	0.7027279472531234	0.06978550027309424	0.8480728875222665	76.92307692307692
Glucose 1-phosphate	1.176025423571888	1.0407626828641776	0.23301326198167477	0.0689069400131905	0.8382839493728699	77.77777777777777
Glucose 6-phosphate	0.8391419660476549	1.0905349483239855	0.3775874944784743	0.027133006225502496	0.7443751368216743	52.38095238095238
Glycine	0.7588870242566864	1.0029605697828585	0.17370902446587055	0.007573079237273502	0.6984040304931979	66.21004566210046
Isocitric acid	0.7022348384141265	0.8047231229829888	0.12402835472106263	0.03889118193948135	0.8229658195820965	75.0
L-Alanine	0.9999952692912527	0.9783466811937447	0.13552369472499015	0.034020379574659004	0.7698861635917823	69.87951807228916
L-Arginine	1.0186875131176718	1.0128250964428722	0.20155082992215073	0.022997508305713003	0.8731128820333062	69.35483870967742
L-Aspartic acid	1.8615841769098114	1.0156276654542546	0.3102575793824036	0.017932788520800855	0.8302065646014296	70.14925373134328
L-Glutamic acid	0.4824280192302438	1.0546188336241393	0.0574317557043278	0.017746798276513952	0.7801943448460762	72.86821705426357
L-Glutamine	0.9813950856160707	0.9890678910627435	0.18715174429806677	0.014094936213365076	0.8382874635149304	73.61111111111111
L-Histidine	0.8658206292211484	0.9951141941639998	0.14956259934264474	0.023798677253211567	0.8688921011765391	75.0
L-Isoleucine	0.8417475176256708	0.9929026066204849	0.24152175151301575	0.018617245896362804	0.8538453208766734	68.0
L-Lactic acid	1.228374797241776	1.0503217278068095	0.20660183835167903	0.028341159139100115	0.8152649791065065	75.0
L-Leucine	0.8886830328674855	0.9958446377332462	0.25098623569124756	0.017175027780390123	0.8157058458168364	65.71428571428571
L-Lysine	1.16707994310522	1.0046596828737249	0.2529402117274203	0.011787142801475312	0.8492915741071418	73.07692307692308
L-Malic acid	4.0862898777420895	0.7482935714146263	0.6743559177484351	0.06376584732056974	0.8716918437509845	100.0
L-Methionine	0.6644425675271861	1.008432460110109	0.24464225103854487	0.05012712124749502	0.845206951792101	70.76923076923077
L-Phenylalanine	1.0452590072490278	1.0295731284520369	0.2279433146070998	0.04718769904345202	0.8013730781991862	71.42857142857143
L-Proline	0.39576693479645814	0.9440383000266324	0.06851450913984206	0.029507483174766598	0.7893425877605733	71.875
L-Serine	1.3240513403544187	0.9719478470992661	0.26464712962570447	0.015602865274327641	0.8497714124062037	75.0
L-Threonine	1.0042812918341386	1.0001518103999247	0.1077449048103267	0.013018357809141153	0.8419247935994787	73.6842105263158
L-Tryptophan	1.1563792856410322	1.0026300768175165	0.46200262452007423	0.030666877255344126	0.8436582938876238	66.0377358490566
L-Tyrosine	1.1267743061457616	1.064463951505794	0.3526259977625721	0.04847704457638357	0.820184727421244	59.09090909090909
L-Valine	0.9060415838612534	0.9940396474632295	0.2405385422590935	0.019903924239323374	0.8520873952639317	65.38461538461539
Oxoglutaric acid	1.30366188411852	0.9634323388927792	0.2602716091013797	0.025519149498160816	0.7777283744650656	77.77777777777777
Phosphoenolpyruvic acid	1.4821104991679441	0.8744837580660801	0.5391654631787651	0.05978055773771336	0.7537127197752145	90.9090909090909
Pyruvic acid	2.400820867545096	1.0257137123573825	0.9991469972799348	0.014699389527298466	0.7498426736896632	70.14925373134328
Succinic acid	0.9469874259070443	0.8338990326987741	0.15990973587693216	0.04919653553753218	0.8097984583242339	79.59183673469387
cis-Aconitic acid	0.6385251423326896	0.7675762024345831	0.06878661165105385	0.062734959294205	0.7910289470029376	100.0
Hydroxykynurenine	0.6799730869857643	0.951642348997797	0.4031668263159034	0.017889392403251936	0.7517318386039726	71.42857142857143
L-Kynurenine	0.6484409176183058	0.9493863145165568	0.18805722764049498	0.013045953846756627	0.7254447670460703	66.66666666666667
N-Acetyl-L-aspartic acid	0.5579680075749507	0.9744495907582466	0.13873253746206057	0.011208408093887899	0.804112196645245	0.0
Nicotinic acid	1.3280667283839696	0.9220479752859547	0.5479923652209343	0.015603312004528164	0.7982749204105004	62.5
S-Adenosylmethionine	0.48155320978779215	1.002087809856351	0.20352310094760792	0.00340009671038897	0.6724437672792334	68.04123711340206
