vmh,A,C,p,padj,fc
1agpe180,0.016223200555555553,0.024621892000000003,0.0654221209011591,0.14375650250649435,0.6588933358799377
2hxic_L,0.0005837193333333334,0.0007996138571428571,0.4588488288054237,0.589444264696198,0.7300015227588127
3HEXDCRN,0.0004476019444444445,0.00017990728571428574,0.0005093365626079897,0.005003482703266723,2.4879589654600753
3IVCRN,0.0020000221111111114,0.0011637597142857144,0.004654495156774402,0.025910023039377502,1.7185868238605193
3OCTDECE1CRN,0.0013053756666666664,0.00046034185714285714,0.001327859753351218,0.009641416469984931,2.835665813160178
3bcrn,6.881899999999999e-05,4.907314285714285e-05,0.8345046614888972,0.8764923174128669,1.4023760450872167
3ddcrn,0.00018304661111111112,3.938678571428572e-05,5.218917763145943e-05,0.0020127885021764525,4.647411759846133
3tdcrn,0.00034024983333333337,0.00014056649999999996,0.0010167034242954504,0.00808521294558763,2.4205613238811057
4abut,0.17284033494444445,0.12067659807142858,0.2031743017492157,0.3326481214913629,1.4322605849573262
5HOXINDOA,0.002099046888888889,0.0007775681428571429,6.133536013951544e-05,0.0020127885021764525,2.6995021699011814
5MTA,0.00045792938888888885,0.0006002167142857142,0.3720225737382422,0.5177314151190537,0.762940081456822
5OXPRO,0.004935233444444444,0.0028033500714285714,0.000674292736729301,0.005630344351689663,1.7604770430720686
5ohhexa,0.0016723089444444445,0.002385992285714285,0.5061975947929811,0.626185172817984,0.7008861489021169
7ohocata,0.0006803593888888889,0.0006573402142857144,0.7757196518444691,0.8412024795975735,1.0350186617263146
ACRN,0.05282194616666667,0.03827122128571429,0.014279576416245018,0.05184107090245474,1.3802001710978533
ARAB_L,0.04657082822222222,0.05525659021428573,0.5308013766975783,0.6377253950251479,0.8428103877133928
ARACH,0.012189181499999998,0.016231782357142854,0.23146793933412624,0.3646711874415008,0.7509453510283242
ARACHD,0.04763873200000001,0.04386744721428572,0.2961900243021126,0.4496703096222983,1.0859700079489958
ARG_L,0.0028481301666666674,0.003239483714285714,0.5061975947929811,0.626185172817984,0.8791926176713818
ASN_L,0.17837115161111108,0.09887669278571427,8.436838033074951e-05,0.0020127885021764525,1.8039757053533063
C01601,0.2555844347222222,1.008221113,0.6349040599748633,0.7312343311434633,0.253500379457162
C10164,1.3768452926111112,1.1705109877857147,0.6899948772616324,0.7681942966846175,1.1762771191201924
C10CRN,0.00014235088888888892,3.919764285714286e-05,0.004130652963724701,0.024636394462215185,3.6316186003248094
C8CRN,8.499038888888888e-05,2.2807857142857143e-05,0.0019619733796795874,0.013652064766937129,3.7263644873146604
CE2421,0.0003725101666666667,0.00011113128571428572,8.436838033074951e-05,0.0020127885021764525,3.351982875680716
CGLY,0.0005507079444444446,0.00051572,0.6899948772616324,0.7681942966846175,1.0678429078655949
CLPND,0.001285303,0.0011036352857142855,0.278974694515427,0.4274199448080395,1.1646084686102955
CRN,0.00826667511111111,0.009768401285714285,0.7757196518444691,0.8412024795975735,0.8462669447456707
CRVNC,0.024857011555555558,0.03021023507142857,0.06006045963817761,0.14375650250649435,0.8228009976348764
DDCA,0.00042515566666666667,0.00046513764285714286,0.5061975947929811,0.626185172817984,0.9140426993934873
DDECCRN,0.0003194631111111111,0.0001403021428571429,0.0654221209011591,0.14375650250649435,2.276965302207763
FRU,0.00922734866666667,0.004064990571428571,0.0036608765014716975,0.02351409137483744,2.2699557365575576
FUM,0.4570788602222222,0.3778785415714285,0.19001098064722569,0.32052357341501697,1.2095919983215637
GAL,0.3733185194444445,0.6472958926428571,0.09844725842532087,0.19341990772974807,0.5767354986916647
GLN_L,0.0008719426111111113,0.0008648946428571429,0.9243409218051484,0.9412495972040232,1.0081489327193491
GLU_D,0.0019080263888888891,0.0019192119285714288,0.6899948772616324,0.7681942966846175,0.9941718058771833
