	HEK25a51ko_1_wtHEK293_1	HEK25a51ko_1_wtHEK293_2	HEK25a51ko_1_wtHEK293_3	HEK25a51ko_2_wtHEK293_1	HEK25a51ko_2_wtHEK293_2	HEK25a51ko_2_wtHEK293_3	HEK25a51ko_3_wtHEK293_1	HEK25a51ko_3_wtHEK293_2	HEK25a51ko_3_wtHEK293_3
10fthf5glu[c]	0.9661338935806171	0.9539562265745906	0.9567588001517437	0.9976811485399052	0.977895108762129	0.9814749147858814	0.9928343897356962	0.9718617728306786	0.976870765731566
10fthf5glu[l]	1.0616105775434739	1.06312277758961	1.067632331530378	1.0144855357373974	1.0146974797541837	1.0180037037212089	1.0198668165511091	1.0191703345916532	1.0235125640392537
10fthf5glu[m]	0.9178056811281744	0.9195278590144056	0.9109220507195118	0.9786735319344818	0.9796642482181872	0.9704997363949431	0.9710294630513393	0.9713386142273134	0.9621819034756578
10fthf6glu[c]	0.9911319666661083	0.99107179673271	0.990088598404713	0.9980226636903772	0.9930801707436168	0.9932085377893146	0.9967655719344953	0.9895133931709642	0.9920083640485795
10fthf6glu[l]	1.0259164851384472	1.0282616929142785	1.0290927675775767	1.0053982244165083	1.0061067862869042	1.0063682198169157	1.0074493096208934	1.0070178654621316	1.0084758210910767
10fthf6glu[m]	0.929733106872772	0.9312631791676412	0.9228012049571431	0.9826620893955094	0.9838156235392471	0.9748304579970651	0.975086298224947	0.9754189967923202	0.9665895704211498
10fthf7glu[c]	0.9320871539808695	0.9313713873980064	0.924704871113196	0.983471886486232	0.9802881732190555	0.9742352736231041	0.9764755944351955	0.9713546677460072	0.9669538581418082
10fthf7glu[l]	0.952665299775711	0.9525622972089368	0.9475846110353129	0.9886416597343686	0.9867828207955929	0.9821795724875823	0.9837165033403991	0.9804227545218532	0.9770840974432444
10fthf7glu[m]	0.931163419637918	0.932637617021047	0.9241557607201719	0.9832319161627607	0.9843981912636677	0.9754129999918998	0.9756287604018044	0.9759504667434826	0.9671444585221426
10fthf[c]	1.0696711213446288	1.0515183626170468	1.0715760580938505	1.022864050455371	1.0025420354005585	1.0213363521567458	1.0384322001470856	1.0224315236448032	1.0384105694902759
10fthf[l]	1.041474601279796	1.0264918287072606	1.0352865674901641	1.0169315580305136	1.0042800128443243	1.010965510777775	1.0199862183772919	1.0068232408199114	1.0136258283901725
10fthf[m]	1.0608598592325214	1.0354701986223147	1.0443628030668608	1.054433190529964	1.0336371898640255	1.0412868151935148	1.0508927135044148	1.0298749646904195	1.0362806355633085
11docrtsl[c]	0.9797808075533997	0.9456642010354509	0.9602906002773804	1.0101500472477547	0.9582327235732931	0.971361307822455	1.0047366011712695	0.9721989405466791	0.9936842237090739
11docrtsl[m]	0.9491747307434365	0.899876687925987	0.9171858356575765	0.9795459331763658	0.9212258985658797	0.9388673564333379	0.998544401551378	0.9443952023060538	0.9662239022867101
11docrtsl[r]	0.9900165604413976	0.8842290499743708	0.8938865183091409	1.0623157167517816	0.9366278005556653	0.9432005138252295	1.0202389758286914	0.9160964111051547	0.931296258939862
11docrtstrn[c]	1.010620036206195	0.952329238835539	0.9457974060220826	1.0313333805630374	0.9834602289352318	0.985773333078176	1.0128790003445445	0.9464858732474732	0.9402468304793781
11docrtstrn[m]	0.9873402528748819	0.9608070595419022	0.9637498632371245	0.9996765225598219	0.9748444414729263	0.979678502286319	1.0020902092689536	0.9731141646533953	0.9760303209630262
11docrtstrn[r]	1.0326825355544489	0.9251707361601675	0.9142691494303218	1.0835561432071077	0.9890454009483525	0.9785661254953266	1.0312817005847805	0.9209069203703358	0.9122810759533789
13dampp[c]	0.952056512083356	1.0458569330551124	0.9765722158691487	0.9544612302334681	1.0668316640184923	0.9653095225731885	0.9605056636852789	1.056802388676245	0.9782687134325811
h2o[c]	0.9987400120059737	1.0025272663008862	0.9946317361695638	1.005163039735175	1.0091906328029263	1.0059682684426836	1.0024949378397792	1.0031300581925695	1.0041684212890547
o2[c]	1.0589853903257331	1.2093250251855476	1.1874718346215432	1.080918825786953	1.2112452219280483	1.1848732955939496	0.9937091904824124	1.1166864154659846	1.1062465524018459
bamppald[c]	1.011365926644193	0.9959903054086916	0.9990881891531501	1.02588190429354	1.0016613261168796	1.0120107489034702	1.0279705846733735	1.0060243095745047	1.0116627694789115
h2o2[c]	0.9564012384508408	0.9670109003187976	0.9844439507844893	0.9783097294601248	0.9905895944442668	1.0181862906896033	0.9897799479734739	0.9909893548624559	1.0214018900462232
nh4[c]	1.024317675953425	1.052577258222628	1.047618762876329	1.0407157504538633	1.059031365656204	1.0866055744857914	1.0533681790936305	1.0769674327467642	1.100788548603707
h2o[m]	0.9532454992200093	0.9431943407734288	0.9546681079725647	0.9962011211843582	0.9735555576064969	0.9943571908672387	0.9812438536700855	0.9629066279645103	0.9809288205454736
o2[m]	0.8209333816636711	0.9405895932984868	0.7868579750504996	0.7024204899899608	0.8755392769175332	0.6734545019979018	0.7528905726098513	0.8757699809817693	0.7219241470903299
2425dhvitd2[m]	1.0570832004668453	0.8917414664019078	0.866740947703685	1.2130721667886677	1.0067692523649296	0.9725474294802292	1.1234417794102678	0.9274282336970336	0.8981914992538104
h[m]	0.976376782881093	0.9687761349194275	0.9733846454441578	0.9979267173022116	0.9841801542831342	0.9950288903889886	0.9881902456373522	0.9769555468924629	0.9836300986309319
nadph[m]	0.9778716475621101	0.9890734620625373	0.9737884684308896	0.9974543762302148	1.015068920696347	0.9939641888407018	0.9817289263404786	0.9893888815549587	0.9720618483368925
